Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Min,Fwd IAT Total,Fwd IAT Min,Bwd IAT Total,Fwd PSH Flags,Fwd Header Length,Bwd Packets/s,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,Down/Up Ratio,Fwd Bytes/Bulk Avg,Bwd Bytes/Bulk Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Active Mean,Idle Std,Clase_ID,Nombre_Ataque,Chunk_ID
68,67,17,24385262.0,6,0,2052.0,0.0,342.0,342.0,0.0,0.0,84.149185,0.24605025,4877052.5,1264296.0,24385262.0,1264296.0,0.0,0,48.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,6,2052.0,0,0.0,0.0,6,0.0,1115653.0,9,Mirai,103
40707,53,17,10117.0,1,1,89.0,153.0,89.0,89.0,0.0,153.0,23920.135,197.68706,0.0,0.0,0.0,0.0,0.0,0,8.0,98.84353,32.0,1,0,0,0,0,0,1.0,0.0,0.0,1,89.0,1,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,103
51732,53,17,38227.0,1,1,89.0,153.0,89.0,89.0,0.0,153.0,6330.604,52.319042,0.0,0.0,0.0,0.0,0.0,0,8.0,26.159521,32.0,1,0,0,0,0,0,1.0,0.0,0.0,1,89.0,1,0.0,0.0,1,0.0,0.0,12,Spoofing - DNS Spoofing,103
38820,80,6,39781.0,4,2,272.0,140.0,74.0,66.0,3.4641016,66.0,10356.703,150.82578,7956.2,1137.0,39781.0,1807.0,0.0,0,80.0,50.275257,3.7712362,1,0,0,0,0,0,0.5,0.0,0.0,4,272.0,2,65535.0,114.0,0,0.0,1099.5,11,Spoofing - ARP Spoofing,103
50957,53,17,10550.0,1,1,85.0,153.0,85.0,85.0,0.0,153.0,22559.242,189.57346,0.0,0.0,0.0,0.0,0.0,0,8.0,94.78673,34.0,1,0,0,0,0,0,1.0,0.0,0.0,1,85.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
52064,123,17,0.0,1,0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,90.0,0,0.0,0.0,1,0.0,0.0,14,Web-Based - Uploading Attack,103
58681,123,17,0.0,1,0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,1,90.0,0,0.0,0.0,1,0.0,0.0,0,Benign,103
443,60550,6,120549930.0,5,8,434.0,596.0,95.0,54.0,16.4,54.0,8.544177,0.10783913,10045828.0,850.0,90521050.0,850.0,120446670.0,0,100.0,0.066362545,19.946674,1,0,0,0,0,0,1.6,0.0,0.0,5,434.0,8,8380.0,7149.0,4,22517934.0,11959106.0,12,Spoofing - DNS Spoofing,103
68,67,17,26074216.0,4,0,1368.0,0.0,342.0,342.0,0.0,0.0,52.465622,0.15340824,8691406.0,8572550.0,26074216.0,8572550.0,0.0,0,32.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,4,1368.0,0,0.0,0.0,4,0.0,4143042.5,0,Benign,103
32925,80,6,43648910.0,9,0,486.0,0.0,54.0,54.0,0.0,0.0,11.134298,0.2061907,5456114.0,339203.0,43648910.0,339203.0,0.0,0,180.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,9,486.0,0,1403.0,0.0,0,0.0,3609519.0,12,Spoofing - DNS Spoofing,103
38308,80,6,23276184.0,6,5,490.0,1057.0,200.0,54.0,53.421803,54.0,66.46278,0.47258607,2327618.2,3.0,23276184.0,8.0,23134232.0,0,120.0,0.21481185,148.19905,1,0,0,0,0,0,0.8333333,0.0,0.0,6,490.0,5,65535.0,62.0,1,110489.0,10798474.0,12,Spoofing - DNS Spoofing,103
44853,53,17,11085.0,1,1,82.0,98.0,82.0,82.0,0.0,98.0,16238.16,180.424,0.0,0.0,0.0,0.0,0.0,0,8.0,90.212,8.0,1,0,0,0,0,0,1.0,0.0,0.0,1,82.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
27036,53,17,10471.0,1,1,82.0,98.0,82.0,82.0,0.0,98.0,17190.336,191.00372,0.0,0.0,0.0,0.0,0.0,0,8.0,95.50186,8.0,1,0,0,0,0,0,1.0,0.0,0.0,1,82.0,1,0.0,0.0,1,0.0,0.0,11,Spoofing - ARP Spoofing,103
59497,80,6,337440.0,4,4,393.0,595.0,211.0,54.0,65.60631,54.0,2927.928,23.707918,48205.715,5.0,229720.0,5.0,227496.0,0,80.0,11.853959,124.55521,1,0,0,0,0,0,1.0,0.0,0.0,4,393.0,4,65535.0,127.0,1,112160.5,3869.0532,12,Spoofing - DNS Spoofing,103
